Time(s),Theta(rad),theta_dot(rad/s),Phi(rad),phi_dot(rad/s),setpoint(A)
19.022,0.012,0.019,-48.241,-4.744,0.053
19.032,0.017,-0.012,-48.285,-4.496,0.048
19.042,0.020,-0.038,-48.318,-3.721,0.013
19.052,0.022,-0.054,-48.346,-3.108,-0.006
19.062,0.021,-0.062,-48.370,-2.596,-0.013
19.072,0.021,-0.066,-48.391,-2.246,-0.019
19.082,0.020,-0.064,-48.409,-1.976,-0.020
19.092,0.018,-0.067,-48.425,-1.707,-0.019
19.102,0.016,-0.059,-48.441,-1.643,-0.029
19.112,0.013,-0.039,-48.455,-1.519,-0.027
19.122,0.011,-0.029,-48.473,-1.682,-0.003
19.132,0.010,-0.018,-48.490,-1.711,0.011
19.142,0.011,-0.016,-48.508,-1.747,0.009
19.152,0.012,-0.026,-48.524,-1.630,0.015
19.162,0.013,-0.033,-48.537,-1.464,0.002
19.172,0.013,-0.036,-48.547,-1.127,-0.003
19.182,0.013,-0.041,-48.554,-0.861,-0.006
19.192,0.013,-0.045,-48.562,-0.773,-0.011
19.202,0.012,-0.047,-48.565,-0.513,-0.016
19.212,0.012,-0.049,-48.567,-0.273,-0.021
19.222,0.011,-0.047,-48.568,-0.142,-0.021
19.232,0.011,-0.055,-48.569,-0.099,-0.025
19.242,0.010,-0.051,-48.567,0.069,-0.029
19.252,0.009,-0.052,-48.564,0.202,-0.030
19.262,0.008,-0.048,-48.562,0.246,-0.031
19.272,0.007,-0.045,-48.557,0.363,-0.035
19.282,0.006,-0.042,-48.553,0.402,-0.031
19.292,0.004,-0.025,-48.550,0.339,-0.029
19.302,0.002,-0.013,-48.548,0.266,-0.019
19.312,0.001,-0.004,-48.550,-0.039,0.001
19.322,0.001,0.001,-48.552,-0.141,0.005
19.332,0.002,0.002,-48.553,-0.124,0.011
19.342,0.003,-0.004,-48.555,-0.169,0.010
19.352,0.004,-0.008,-48.554,0.020,0.015
19.362,0.005,-0.015,-48.550,0.211,0.010
19.372,0.005,-0.015,-48.546,0.403,0.004
19.382,0.005,-0.018,-48.541,0.415,0.009
19.392,0.006,-0.024,-48.534,0.599,0.005
19.402,0.006,-0.023,-48.527,0.685,0.001
19.412,0.006,-0.026,-48.519,0.765,-0.004
19.422,0.005,-0.024,-48.510,0.869,-0.002
19.432,0.004,-0.023,-48.500,0.929,-0.005
19.442,0.004,-0.018,-48.491,0.898,0.002
19.452,0.004,-0.024,-48.483,0.887,-0.001
19.462,0.005,-0.034,-48.473,0.961,-0.009
19.472,0.006,-0.044,-48.459,1.215,-0.021
19.482,0.005,-0.042,-48.445,1.376,-0.031
19.492,0.004,-0.042,-48.430,1.456,-0.029
19.502,0.004,-0.041,-48.415,1.457,-0.031
19.601,-0.004,0.054,-48.357,-0.310,0.064
19.611,-0.001,0.040,-48.360,-0.282,0.063
19.621,0.003,0.021,-48.358,0.034,0.061
19.631,0.006,-0.000,-48.353,0.292,0.034
19.641,0.007,-0.012,-48.345,0.634,0.024
19.651,0.008,-0.021,-48.335,0.902,0.023
19.661,0.009,-0.036,-48.323,1.119,0.004
19.671,0.010,-0.052,-48.307,1.395,-0.016
19.681,0.009,-0.062,-48.289,1.667,-0.025
19.691,0.008,-0.058,-48.271,1.756,-0.037
19.701,0.006,-0.059,-48.252,1.861,-0.045
19.711,0.004,-0.051,-48.235,1.773,-0.042
19.721,0.003,-0.048,-48.220,1.615,-0.040
19.731,0.002,-0.042,-48.205,1.534,-0.046
19.741,0.000,-0.041,-48.191,1.407,-0.050
19.751,-0.001,-0.035,-48.179,1.312,-0.045
19.761,-0.003,-0.023,-48.166,1.256,-0.040
19.771,-0.006,0.005,-48.160,0.853,-0.032
19.781,-0.008,0.023,-48.159,0.361,-0.006
19.791,-0.010,0.043,-48.160,-0.007,0.009
19.801,-0.008,0.044,-48.166,-0.361,0.034
19.811,-0.005,0.036,-48.170,-0.401,0.018
19.821,-0.004,0.026,-48.173,-0.313,0.020
19.831,-0.003,0.029,-48.176,-0.309,0.021
19.841,-0.003,0.027,-48.179,-0.333,0.030
19.851,-0.002,0.026,-48.184,-0.418,0.031
19.861,0.001,0.009,-48.186,-0.293,0.026
19.871,0.004,-0.010,-48.186,-0.072,0.013
19.881,0.004,-0.020,-48.183,0.181,-0.005
19.891,0.003,-0.017,-48.179,0.316,-0.008
19.901,0.001,-0.005,-48.177,0.259,-0.006
19.911,0.000,0.004,-48.177,0.035,0.006
19.921,0.000,0.003,-48.178,-0.039,0.009
19.931,-0.000,0.012,-48.182,-0.243,0.009
19.941,-0.000,0.009,-48.185,-0.337,0.017
19.951,0.001,0.005,-48.188,-0.291,0.007
19.961,0.001,0.005,-48.192,-0.378,0.018
19.971,0.033,-0.140,-48.195,-0.305,0.005
19.981,0.118,-0.811,-48.194,-0.051,-0.576
19.991,0.126,-1.014,-48.200,-0.375,-1.011
20.001,0.111,-1.179,-48.241,-2.861,-1.241
20.011,0.077,-1.148,-48.338,-7.466,-1.459
20.021,0.023,-0.898,-48.503,-13.466,-1.508
20.031,-0.030,-0.664,-48.741,-20.325,-1.405
20.041,-0.074,-0.329,-49.042,-26.886,-1.272
20.051,-0.102,-0.098,-49.397,-32.620,-1.130
20.061,-0.126,0.089,-49.795,-37.407,-1.032
20.071,-0.140,0.294,-50.238,-41.975,-0.781
20.081,-0.150,0.423,-50.723,-46.391,-0.587
20.110,-0.122,0.653,-52.320,-54.507,-0.249
20.120,-0.108,0.650,-52.892,-56.288,-0.183
20.130,-0.095,0.640,-53.487,-58.467,-0.094
20.140,-0.087,0.672,-54.102,-60.446,0.018
20.150,-0.080,0.782,-54.712,-60.876,0.063
20.160,-0.076,0.831,-55.343,-62.298,0.291
20.170,-0.070,0.950,-55.976,-63.001,0.438
20.180,-0.056,1.019,-56.622,-64.054,0.621
20.190,-0.015,0.865,-57.263,-64.086,0.712
20.200,0.038,0.573,-57.844,-60.113,0.593
20.210,0.084,0.246,-58.376,-55.524,0.253
20.220,0.110,-0.042,-58.857,-50.516,0.015
20.230,0.116,-0.151,-59.299,-46.345,-0.103
20.240,0.110,-0.204,-59.738,-44.719,-0.207
20.250,0.094,-0.168,-60.180,-44.330,-0.260
20.260,0.077,-0.112,-60.619,-44.076,-0.214
20.270,0.060,0.004,-61.066,-44.477,-0.200
20.280,0.045,0.082,-61.526,-45.505,-0.135
20.290,0.035,0.173,-61.993,-46.283,-0.083
20.300,0.027,0.237,-62.463,-46.772,0.026
20.310,0.028,0.272,-62.938,-47.254,0.093
20.320,0.035,0.259,-63.411,-47.278,0.106
20.330,0.047,0.205,-63.863,-45.941,0.114
20.340,0.059,0.131,-64.300,-44.434,0.041
20.350,0.067,0.056,-64.731,-43.497,-0.012
20.360,0.072,-0.003,-65.150,-42.468,-0.060
20.370,0.071,-0.016,-65.558,-41.361,-0.076
20.380,0.069,-0.024,-65.974,-41.501,-0.146
20.390,0.060,-0.010,-66.392,-41.698,-0.124
20.400,0.053,0.037,-66.809,-41.738,-0.106
20.410,0.045,0.118,-67.223,-41.473,-0.038
20.420,0.040,0.157,-67.644,-41.871,-0.035
20.430,0.035,0.211,-68.065,-42.029,0.076
20.440,0.036,0.262,-68.480,-41.726,0.125
20.450,0.040,0.248,-68.893,-41.395,0.200
20.460,0.051,0.238,-69.298,-40.856,0.209
20.470,0.065,0.139,-69.683,-39.262,0.158
20.480,0.074,0.059,-70.040,-36.906,0.093
20.490,0.078,0.010,-70.378,-34.826,0.044
20.500,0.080,-0.019,-70.710,-33.698,0.062
20.510,0.084,-0.045,-71.036,-32.966,0.027
20.520,0.083,-0.069,-71.350,-31.951,-0.017
20.530,0.080,-0.083,-71.656,-31.052,-0.028
20.540,0.077,-0.086,-71.961,-30.676,-0.044
20.550,0.073,-0.079,-72.265,-30.474,-0.051
20.560,0.068,-0.067,-72.570,-30.483,-0.062
20.570,0.064,-0.045,-72.871,-30.284,-0.061
20.580,0.058,-0.006,-73.166,-29.728,-0.037
20.590,0.053,0.027,-73.457,-29.314,-0.014
20.629,0.049,0.109,-74.606,-28.155,0.121
20.639,0.052,0.098,-74.872,-27.103,0.155
20.649,0.056,0.086,-75.129,-26.189,0.158
20.659,0.062,0.045,-75.376,-25.169,0.144
20.669,0.068,0.007,-75.609,-23.940,0.121
20.679,0.071,-0.026,-75.827,-22.553,0.100
20.689,0.071,-0.042,-76.034,-21.267,0.100
20.699,0.072,-0.055,-76.228,-20.025,0.073
20.709,0.072,-0.072,-76.412,-18.971,0.068
20.719,0.072,-0.091,-76.589,-18.109,0.055
20.729,0.072,-0.104,-76.755,-17.134,0.028
20.739,0.071,-0.114,-76.916,-16.396,-0.005
20.749,0.067,-0.113,-77.073,-15.950,-0.017
20.759,0.064,-0.115,-77.223,-15.338,-0.002
20.769,0.060,-0.107,-77.371,-14.957,-0.025
20.779,0.056,-0.095,-77.516,-14.674,-0.001
20.789,0.050,-0.066,-77.659,-14.425,0.012
20.799,0.049,-0.066,-77.802,-14.296,0.032
20.809,0.047,-0.032,-77.939,-13.914,0.008
20.819,0.044,-0.042,-78.075,-13.693,0.058
20.829,0.043,-0.011,-78.210,-13.590,0.031
20.839,0.044,-0.035,-78.340,-13.195,0.061
20.849,0.045,-0.027,-78.463,-12.632,0.043
20.859,0.045,-0.036,-78.585,-12.289,0.055
20.869,0.045,-0.030,-78.697,-11.587,0.048
20.879,0.044,-0.033,-78.806,-11.123,0.062
20.889,0.046,-0.053,-78.908,-10.535,0.066
20.899,0.045,-0.045,-79.003,-9.851,0.049
20.909,0.042,-0.033,-79.096,-9.446,0.074
20.919,0.043,-0.029,-79.181,-8.824,0.081
20.929,0.046,-0.054,-79.257,-8.029,0.068
20.939,0.046,-0.062,-79.327,-7.329,0.061
20.949,0.046,-0.076,-79.389,-6.560,0.057
20.959,0.047,-0.084,-79.443,-5.791,0.042
20.969,0.045,-0.086,-79.489,-4.999,0.042
20.979,0.041,-0.063,-79.535,-4.708,0.059
20.989,0.037,-0.037,-79.579,-4.559,0.076
20.999,0.034,-0.018,-79.624,-4.513,0.105
21.009,0.035,-0.017,-79.667,-4.317,0.118
21.019,0.039,-0.043,-79.698,-3.561,0.100
21.029,0.042,-0.073,-79.720,-2.644,0.084
21.039,0.045,-0.101,-79.734,-1.802,0.058
21.049,0.045,-0.119,-79.737,-0.780,0.036
21.059,0.044,-0.130,-79.733,-0.030,0.019
21.069,0.041,-0.129,-79.723,0.680,0.009
21.079,0.038,-0.125,-79.710,1.070,0.014
21.089,0.036,-0.125,-79.695,1.354,0.012
21.099,0.033,-0.119,-79.675,1.781,0.002
21.109,0.031,-0.110,-79.652,2.128,0.013
21.138,0.022,-0.077,-79.576,2.603,0.020
21.148,0.019,-0.054,-79.551,2.531,0.047
21.158,0.017,-0.033,-79.525,2.557,0.057
21.168,0.015,-0.015,-79.500,2.540,0.082
21.178,0.015,-0.003,-79.474,2.560,0.102
21.188,0.015,0.002,-79.448,2.643,0.115
21.198,0.017,-0.005,-79.416,2.952,0.120
21.208,0.018,-0.007,-79.382,3.310,0.121
21.218,0.020,-0.013,-79.343,3.686,0.122
21.228,0.021,-0.024,-79.300,4.092,0.123
21.238,0.024,-0.035,-79.250,4.662,0.114
21.248,0.027,-0.072,-79.194,5.313,0.095
21.258,0.031,-0.106,-79.127,6.245,0.063
21.268,0.031,-0.130,-79.052,7.093,0.034
21.278,0.026,-0.117,-78.973,7.629,0.035
21.288,0.023,-0.103,-78.895,7.734,0.043
21.298,0.023,-0.110,-78.814,7.948,0.030
21.308,0.020,-0.103,-78.731,8.221,0.020
21.318,0.017,-0.093,-78.651,8.084,0.034
21.328,0.016,-0.090,-78.567,8.295,0.031
21.338,0.014,-0.082,-78.484,8.286,0.032
21.348,0.009,-0.056,-78.404,8.105,0.044
21.358,0.008,-0.045,-78.327,7.789,0.064
21.368,0.011,-0.060,-78.245,8.069,0.045
21.378,0.012,-0.081,-78.162,8.238,0.032
21.388,0.013,-0.089,-78.076,8.498,0.013
21.398,0.013,-0.104,-77.986,8.790,0.003
21.408,0.009,-0.091,-77.897,8.911,-0.010
21.418,0.005,-0.066,-77.813,8.569,0.020
21.428,0.005,-0.058,-77.731,8.302,0.028
21.438,0.006,-0.066,-77.647,8.393,0.016
21.448,0.006,-0.073,-77.561,8.499,0.005
21.458,0.005,-0.077,-77.472,8.790,-0.004
21.468,0.002,-0.058,-77.388,8.503,0.004
21.478,-0.003,-0.024,-77.306,8.306,0.028
21.488,-0.005,-0.006,-77.232,7.728,0.050
21.498,-0.004,-0.001,-77.160,7.383,0.060
21.508,-0.000,-0.022,-77.083,7.550,0.041
21.518,0.002,-0.047,-77.004,7.783,0.027
21.528,0.004,-0.059,-76.923,7.989,0.012
21.538,0.002,-0.053,-76.842,8.107,0.006
21.548,-0.001,-0.040,-76.763,7.918,0.020
21.558,-0.004,-0.009,-76.691,7.497,0.046
21.568,-0.005,0.002,-76.621,7.152,0.055
21.578,-0.002,-0.011,-76.551,7.038,0.057
21.588,0.001,-0.031,-76.479,7.178,0.036
21.598,0.002,-0.046,-76.402,7.479,0.014
21.608,0.000,-0.039,-76.326,7.555,0.012
21.618,-0.002,-0.026,-76.253,7.376,0.028
21.628,-0.003,-0.011,-76.184,7.112,0.040
21.669,0.004,-0.064,-75.898,7.499,0.002
21.679,0.005,-0.076,-75.816,7.945,-0.014
21.689,0.004,-0.088,-75.734,8.118,-0.026
21.699,0.001,-0.077,-75.650,8.328,-0.037
21.709,-0.004,-0.050,-75.574,7.840,-0.015
21.719,-0.007,-0.023,-75.500,7.520,0.002
21.729,-0.007,-0.014,-75.432,7.034,0.019
21.739,-0.005,-0.028,-75.362,7.023,-0.001
21.749,-0.005,-0.033,-75.293,6.941,0.000
21.759,-0.005,-0.032,-75.221,7.097,-0.008
21.769,-0.006,-0.030,-75.153,6.940,-0.007
21.779,-0.010,-0.003,-75.088,6.660,0.011
21.789,-0.014,0.033,-75.029,6.105,0.040
21.799,-0.015,0.056,-74.977,5.539,0.070
21.809,-0.010,0.042,-74.926,5.248,0.078
21.819,-0.003,0.005,-74.869,5.559,0.039
21.829,0.003,-0.051,-74.803,6.250,-0.005
21.839,0.004,-0.082,-74.731,6.839,-0.030
21.849,0.004,-0.093,-74.657,7.237,-0.055
21.859,0.000,-0.087,-74.582,7.422,-0.068
21.869,-0.006,-0.048,-74.511,7.180,-0.043
21.879,-0.012,-0.006,-74.451,6.380,-0.009
21.889,-0.015,0.019,-74.398,5.657,0.016
21.899,-0.014,0.026,-74.347,5.335,0.021
21.909,-0.011,0.011,-74.295,5.207,0.014
21.919,-0.007,-0.011,-74.241,5.366,-0.007
21.929,-0.004,-0.041,-74.183,5.675,-0.018
21.939,-0.004,-0.049,-74.121,5.980,-0.042
21.949,-0.004,-0.058,-74.061,6.007,-0.048
21.959,-0.007,-0.044,-74.001,6.017,-0.042
21.969,-0.012,-0.011,-73.946,5.635,-0.028
21.979,-0.015,0.020,-73.900,4.947,-0.005
21.989,-0.017,0.036,-73.859,4.384,0.019
21.999,-0.016,0.049,-73.823,3.891,0.037
22.009,-0.014,0.044,-73.786,3.750,0.033
22.019,-0.011,0.033,-73.750,3.655,0.035
22.029,-0.009,0.018,-73.712,3.750,0.022
22.039,-0.005,0.000,-73.672,3.935,0.014
22.049,-0.003,-0.023,-73.628,4.251,-0.013
22.059,-0.003,-0.031,-73.584,4.356,-0.018
22.069,-0.004,-0.031,-73.540,4.340,-0.028
22.079,-0.004,-0.033,-73.498,4.260,-0.027
22.089,-0.006,-0.028,-73.455,4.257,-0.029
22.099,-0.006,-0.032,-73.417,4.002,-0.038
22.109,-0.007,-0.024,-73.377,3.992,-0.046
22.119,-0.010,-0.014,-73.343,3.581,-0.036
22.129,-0.012,-0.003,-73.312,3.289,-0.030
22.139,-0.013,0.014,-73.285,2.861,-0.014
22.149,-0.013,0.017,-73.260,2.615,-0.007
22.159,-0.012,0.016,-73.238,2.381,-0.006
22.188,-0.014,0.049,-73.186,1.520,0.013
22.198,-0.014,0.063,-73.176,1.171,0.037
22.208,-0.013,0.067,-73.169,0.825,0.049
22.218,-0.011,0.063,-73.163,0.684,0.053
22.228,-0.010,0.059,-73.158,0.586,0.052
22.238,-0.008,0.058,-73.154,0.477,0.053
22.248,-0.007,0.059,-73.151,0.363,0.060
22.258,-0.005,0.052,-73.147,0.326,0.065
22.268,-0.003,0.043,-73.144,0.339,0.057
22.278,-0.001,0.031,-73.138,0.496,0.043
22.288,-0.001,0.027,-73.132,0.574,0.046
22.298,-0.000,0.021,-73.128,0.473,0.045
22.308,0.000,0.022,-73.123,0.464,0.044
22.318,0.001,0.023,-73.119,0.436,0.039
22.328,0.001,0.013,-73.115,0.401,0.041
22.338,0.002,0.009,-73.111,0.415,0.030
22.348,-0.010,0.053,-73.106,0.445,0.016
22.358,-0.059,0.468,-73.106,0.199,0.503
22.368,-0.092,0.961,-73.101,0.348,1.012
22.378,-0.083,1.109,-73.070,2.187,1.335
22.388,-0.036,0.981,-72.981,6.688,1.469
22.398,0.024,0.615,-72.817,13.197,1.354
22.408,0.070,0.271,-72.578,20.299,1.082
22.418,0.107,-0.018,-72.273,27.121,0.872
22.428,0.131,-0.278,-71.915,32.894,0.654
22.438,0.147,-0.494,-71.515,37.605,0.411
22.448,0.154,-0.715,-71.074,41.987,0.078
22.458,0.154,-0.917,-70.597,45.800,-0.133
22.468,0.138,-1.006,-70.107,47.915,-0.355
22.478,0.107,-0.972,-69.618,48.533,-0.475
22.488,0.064,-0.829,-69.138,48.225,-0.505
22.498,0.021,-0.576,-68.696,45.522,-0.356
22.508,-0.012,-0.397,-68.299,41.661,-0.250
22.518,-0.035,-0.255,-67.925,38.814,-0.187
22.528,-0.050,-0.139,-67.572,36.485,-0.121
22.538,-0.059,-0.063,-67.237,34.458,-0.019
22.548,-0.060,-0.025,-66.916,32.908,0.022
22.558,-0.057,-0.018,-66.601,31.985,0.025
22.568,-0.052,-0.025,-66.280,32.010,0.024
22.578,-0.048,-0.046,-65.960,32.018,0.010
22.588,-0.043,-0.060,-65.645,31.690,0.014
22.598,-0.038,-0.089,-65.337,31.097,-0.014
22.608,-0.034,-0.123,-65.032,30.712,-0.045
22.618,-0.033,-0.143,-64.723,30.791,-0.084
22.628,-0.033,-0.153,-64.421,30.435,-0.096
22.638,-0.036,-0.146,-64.129,29.576,-0.114
22.648,-0.039,-0.137,-63.849,28.573,-0.121
22.658,-0.045,-0.107,-63.577,27.651,-0.121
22.668,-0.049,-0.076,-63.313,26.785,-0.085
22.678,-0.051,-0.052,-63.055,26.112,-0.071
22.783,-0.042,-0.018,-60.819,21.202,-0.014
22.793,-0.043,-0.017,-60.616,20.565,-0.049
22.803,-0.044,-0.001,-60.418,20.050,-0.055
22.813,-0.044,-0.009,-60.223,19.634,-0.035
22.823,-0.043,-0.012,-60.034,19.184,-0.035
22.833,-0.043,-0.007,-59.850,18.664,-0.037
22.843,-0.042,-0.012,-59.671,18.189,-0.032
22.853,-0.042,-0.004,-59.498,17.563,-0.043
22.863,-0.040,-0.021,-59.336,16.673,-0.041
22.873,-0.037,-0.047,-59.177,16.176,-0.068
22.883,-0.039,-0.032,-59.023,15.665,-0.093
22.893,-0.040,-0.034,-58.876,14.959,-0.104
22.903,-0.041,-0.011,-58.738,14.244,-0.090
22.913,-0.042,-0.023,-58.605,13.568,-0.110
22.923,-0.046,0.027,-58.483,12.705,-0.079
22.933,-0.047,0.030,-58.371,11.673,-0.085
22.943,-0.045,0.037,-58.267,10.796,-0.066
22.953,-0.042,0.015,-58.169,10.142,-0.075
22.963,-0.041,0.011,-58.075,9.646,-0.090
22.973,-0.042,0.027,-57.986,9.170,-0.096
22.983,-0.045,0.057,-57.909,8.223,-0.079
22.993,-0.048,0.089,-57.841,7.214,-0.042
23.003,-0.045,0.096,-57.784,6.215,-0.018
23.013,-0.039,0.067,-57.733,5.471,-0.026
23.023,-0.034,0.040,-57.682,5.277,-0.040
23.033,-0.031,0.016,-57.631,5.134,-0.077
23.043,-0.032,0.020,-57.583,4.879,-0.094
23.053,-0.033,0.034,-57.540,4.492,-0.085
23.063,-0.034,0.043,-57.506,3.771,-0.074
23.073,-0.035,0.057,-57.477,3.227,-0.071
23.083,-0.037,0.073,-57.457,2.404,-0.058
23.093,-0.039,0.094,-57.445,1.620,-0.036
23.103,-0.039,0.118,-57.442,0.693,-0.022
23.113,-0.037,0.126,-57.446,0.001,-0.000
23.123,-0.033,0.119,-57.456,-0.664,0.011
23.133,-0.031,0.116,-57.469,-1.091,0.009
23.143,-0.028,0.108,-57.485,-1.462,0.013
23.153,-0.025,0.100,-57.503,-1.690,0.009
23.163,-0.022,0.089,-57.526,-2.096,0.005
23.173,-0.020,0.084,-57.551,-2.336,-0.003
23.183,-0.018,0.069,-57.577,-2.516,-0.003
23.193,-0.013,0.036,-57.605,-2.732,-0.018
23.203,-0.009,0.005,-57.630,-2.572,-0.048
23.213,-0.005,-0.034,-57.653,-2.366,-0.099
23.223,-0.003,-0.065,-57.673,-2.144,-0.128
23.233,-0.002,-0.095,-57.691,-1.891,-0.169
23.243,-0.003,-0.119,-57.709,-1.831,-0.205
23.253,-0.006,-0.124,-57.727,-1.812,-0.245
23.283,-0.021,-0.072,-57.808,-3.104,-0.286
23.293,-0.030,-0.018,-57.854,-4.102,-0.275
23.303,-0.038,0.038,-57.915,-5.435,-0.216
23.313,-0.044,0.095,-57.992,-6.896,-0.164
23.323,-0.047,0.150,-58.084,-8.438,-0.131
23.333,-0.043,0.172,-58.188,-9.788,-0.082
23.343,0.001,-0.098,-58.303,-10.888,-0.036
23.353,0.047,-0.463,-58.415,-11.093,-0.422
23.363,0.085,-0.886,-58.529,-11.344,-0.911
23.373,0.088,-1.222,-58.671,-13.238,-1.427
23.383,0.056,-1.229,-58.868,-17.499,-1.793
23.393,0.008,-1.081,-59.127,-23.143,-1.922
23.403,-0.036,-0.895,-59.449,-29.158,-1.943
23.413,-0.069,-0.692,-59.828,-34.960,-1.943
23.423,-0.097,-0.566,-60.252,-39.947,-1.943
23.433,-0.119,-0.427,-60.707,-43.647,-1.899
23.443,-0.139,-0.310,-61.195,-47.114,-1.788
23.453,-0.150,-0.207,-61.717,-50.507,-1.746
23.463,-0.159,-0.098,-62.262,-53.107,-1.691
23.473,-0.162,-0.043,-62.829,-55.523,-1.604
23.483,-0.158,-0.018,-63.420,-57.935,-1.555
23.493,-0.148,-0.032,-64.010,-58.637,-1.581
23.503,-0.134,-0.187,-64.620,-60.200,-1.663
23.513,-0.122,-0.250,-65.241,-61.421,-1.679
23.523,-0.113,-0.356,-65.867,-62.241,-1.787
23.533,-0.110,-0.428,-66.515,-63.929,-1.953
23.543,-0.115,-0.460,-67.155,-64.005,-2.046
23.553,-0.121,-0.440,-67.804,-64.594,-2.083
23.563,-0.127,-0.421,-68.458,-65.083,-2.103
23.573,-0.130,-0.446,-69.119,-65.836,-2.181
23.583,-0.124,-0.521,-69.792,-66.792,-2.238
23.593,-0.115,-0.675,-70.450,-66.132,-2.357
23.603,-0.105,-0.848,-71.120,-66.717,-2.521
23.613,-0.097,-1.060,-71.789,-66.848,-2.739
23.623,-0.095,-1.274,-72.466,-67.442,-3.030
23.633,-0.105,-1.439,-73.142,-67.520,-3.351
23.643,-0.122,-1.477,-73.809,-66.979,-3.533
23.653,-0.142,-1.502,-74.485,-67.356,-3.644
23.663,-0.153,-1.606,-75.158,-67.348,-3.744
23.673,-0.157,-1.759,-75.844,-68.183,-3.928
23.683,-0.159,-2.030,-76.517,-67.574,-4.146
23.693,-0.157,-2.336,-77.192,-67.562,-4.375
23.703,-0.155,-2.498,-77.871,-67.769,-4.668
23.713,-0.156,-2.498,-78.548,-67.744,-4.722
23.723,-0.170,-2.498,-79.234,-68.276,-4.741
23.733,-0.191,-2.498,-79.900,-67.197,-4.792
23.743,-0.216,-2.498,-80.577,-67.467,-4.849
23.783,-0.210,-2.498,-83.268,-66.840,-4.919
23.793,-0.172,-2.498,-83.939,-67.013,-4.832
23.803,-0.156,-2.498,-84.601,-66.495,-4.727
23.813,-0.188,1.570,-85.300,-68.754,-4.636
23.823,-0.056,0.922,-86.040,-72.188,-0.051
23.833,-0.114,0.630,-86.772,-72.878,0.354
23.843,-0.119,0.293,-87.491,-72.239,-0.626
23.853,-0.040,-1.187,-88.210,-72.036,-1.362
23.863,-0.100,-0.475,-88.903,-70.151,-4.329
23.873,-0.214,0.337,-89.608,-70.381,-1.137
23.883,-0.203,-0.144,-90.319,-70.872,-1.648
23.893,-0.308,0.125,-91.023,-70.541,-2.639
23.903,-0.381,0.290,-91.740,-71.303,-1.602
23.913,-0.440,0.147,-92.341,-69.903,-2.872
23.922,-0.459,0.183,-92.341,-69.438,-2.817
23.932,-0.471,-0.135,-92.341,-69.282,-3.153
23.942,-0.485,0.011,-92.341,-69.231,-3.285
23.952,-0.507,-0.117,-92.341,-69.213,-3.408
23.962,-0.544,-0.045,-92.341,-69.208,-3.548
23.972,-0.578,0.070,-92.341,-69.206,-3.563
23.982,-0.596,0.077,-92.341,-69.205,-3.584
23.994,-0.609,-0.008,-92.341,-69.205,-3.691
24.004,-0.627,-0.004,-92.341,-69.205,-3.800
24.014,-0.643,0.013,-92.341,-69.205,-3.854
24.024,-0.654,-0.013,-92.341,-69.205,-3.887
24.034,-0.665,-0.040,-92.341,-69.205,-3.963
24.044,-0.679,-0.025,-92.341,-69.205,-4.019
24.054,-0.692,0.015,-92.341,-69.205,-4.045
24.064,-0.700,0.008,-92.341,-69.205,-4.069
24.074,-0.709,0.010,-92.341,-69.205,-4.097
24.084,-0.717,0.020,-92.341,-69.205,-4.127
24.094,-0.723,0.010,-92.341,-69.205,-4.144
24.104,-0.727,-0.003,-92.341,-69.205,-4.169
24.114,-0.732,-0.004,-92.341,-69.205,-4.191
24.124,-0.737,-0.000,-92.341,-69.205,-4.215
24.134,-0.742,-0.007,-92.341,-69.205,-4.240
24.144,-0.746,-0.011,-92.341,-69.205,-4.255
24.154,-0.750,-0.005,-92.341,-69.205,-4.270
24.164,-0.754,0.004,-92.341,-69.205,-4.276
24.174,-0.758,0.001,-92.341,-69.205,-4.283
24.184,-0.761,0.015,-92.341,-69.205,-4.285
24.194,-0.763,0.008,-92.341,-69.205,-4.285
24.204,-0.765,-0.003,-92.341,-69.205,-4.294
24.214,-0.767,0.005,-92.341,-69.205,-4.299
24.224,-0.768,0.007,-92.341,-69.205,-4.317
24.234,-0.769,-0.001,-92.341,-69.205,-4.322
24.244,-0.771,-0.013,-92.341,-69.205,-4.334
24.270,-0.773,-0.003,-92.341,-69.205,-4.349
24.280,-0.775,-0.005,-92.341,-69.205,-4.340
24.290,-0.776,-0.004,-92.341,-69.205,-4.344
24.300,-0.777,0.005,-92.341,-69.205,-4.354
24.310,-0.778,0.008,-92.341,-69.205,-4.340
24.320,-0.780,-0.005,-92.341,-69.205,-4.365
24.330,-0.780,0.018,-92.341,-69.205,-4.367
24.340,-0.780,-0.007,-92.341,-69.205,-4.342
24.350,-0.780,-0.004,-92.341,-69.205,-4.372
24.360,-0.780,0.000,-92.341,-69.205,-4.349
24.370,-0.780,0.004,-92.341,-69.205,-4.370
24.380,-0.781,-0.013,-92.341,-69.205,-4.366
24.390,-0.781,-0.010,-92.341,-69.205,-4.378
24.400,-0.781,-0.008,-92.341,-69.205,-4.355
24.410,-0.782,0.006,-92.341,-69.205,-4.386
24.420,-0.783,-0.014,-92.341,-69.205,-4.368
24.430,-0.783,0.008,-92.341,-69.205,-4.375
24.440,-0.784,0.001,-92.341,-69.205,-4.368
24.450,-0.784,-0.002,-92.341,-69.205,-4.367
24.460,-0.784,0.014,-92.341,-69.205,-4.369
24.470,-0.784,0.000,-92.341,-69.205,-4.358
24.480,-0.784,0.008,-92.341,-69.205,-4.370
